transaction_id,date,description,category,account_type,amount,account_number,vendor_ein
1028,2025-02-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1029,2025-02-05,BrightPath Media Co - Marketing,Marketing,expense,2000.0,7603334216848202,88-4567890
1030,2025-02-05,Metro Power & Water - Utilities,Utilities,expense,1200.0,0264884572147823,88-5678901
1031,2025-03-01,Daily sales deposit,Revenue,revenue,4608.65,1310890481380148,
1032,2025-03-04,Daily sales deposit,Revenue,revenue,4608.65,1310890481380148,
1033,2025-03-07,Daily sales deposit,Revenue,revenue,4608.65,1310890481380148,
1034,2025-03-10,Daily sales deposit,Revenue,revenue,4608.65,1310890481380148,
1035,2025-03-13,Daily sales deposit,Revenue,revenue,4608.65,1310890481380148,
1036,2025-03-16,Daily sales deposit,Revenue,revenue,4608.65,1310890481380148,
1037,2025-03-19,Daily sales deposit,Revenue,revenue,4608.65,1310890481380148,
1038,2025-03-22,Daily sales deposit,Revenue,revenue,4608.65,1310890481380148,
1039,2025-03-25,Daily sales deposit,Revenue,revenue,4608.65,1310890481380148,
1040,2025-03-01,Daily sales deposit,Revenue,revenue,4608.65,1310890481380148,
1041,2025-03-05,Northwind Wholesale Supply - COGS,COGS,expense,17512.86,6416484054459667,88-1234567
1042,2025-03-05,Aperture Payroll Processing - Payroll,Payroll,expense,11500,5155074104460949,88-2345678
1043,2025-03-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1044,2025-03-05,BrightPath Media Co - Marketing,Marketing,expense,2000.0,7603334216848202,88-4567890
1045,2025-03-05,Metro Power & Water - Utilities,Utilities,expense,1150.0,0264884572147823,88-5678901
1046,2025-04-01,Daily sales deposit,Revenue,revenue,4663.95,1310890481380148,
1047,2025-04-04,Daily sales deposit,Revenue,revenue,4663.95,1310890481380148,
1048,2025-04-07,Daily sales deposit,Revenue,revenue,4663.95,1310890481380148,
1049,2025-04-10,Daily sales deposit,Revenue,revenue,4663.95,1310890481380148,
1050,2025-04-13,Daily sales deposit,Revenue,revenue,4663.95,1310890481380148,
1051,2025-04-16,Daily sales deposit,Revenue,revenue,4663.95,1310890481380148,
1052,2025-04-19,Daily sales deposit,Revenue,revenue,4663.95,1310890481380148,
1053,2025-04-22,Daily sales deposit,Revenue,revenue,4663.95,1310890481380148,
1054,2025-04-25,Daily sales deposit,Revenue,revenue,4663.95,1310890481380148,
1055,2025-04-01,Daily sales deposit,Revenue,revenue,4663.95,1310890481380148,
1056,2025-04-05,Northwind Wholesale Supply - COGS,COGS,expense,17723.02,6416484054459667,88-1234567
1057,2025-04-05,Aperture Payroll Processing - Payroll,Payroll,expense,11500,5155074104460949,88-2345678
1058,2025-04-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1059,2025-04-05,BrightPath Media Co - Marketing,Marketing,expense,2000.0,7603334216848202,88-4567890
1060,2025-04-05,Metro Power & Water - Utilities,Utilities,expense,1100.0,0264884572147823,88-5678901
1061,2025-05-01,Daily sales deposit,Revenue,revenue,4719.92,1310890481380148,
1062,2025-05-04,Daily sales deposit,Revenue,revenue,4719.92,1310890481380148,
1063,2025-05-07,Daily sales deposit,Revenue,revenue,4719.92,1310890481380148,
1064,2025-05-10,Daily sales deposit,Revenue,revenue,4719.92,1310890481380148,
1065,2025-05-13,Daily sales deposit,Revenue,revenue,4719.92,1310890481380148,
1066,2025-05-16,Daily sales deposit,Revenue,revenue,4719.92,1310890481380148,
1067,2025-05-19,Daily sales deposit,Revenue,revenue,4719.92,1310890481380148,
1068,2025-05-22,Daily sales deposit,Revenue,revenue,4719.92,1310890481380148,
1069,2025-05-25,Daily sales deposit,Revenue,revenue,4719.92,1310890481380148,
1070,2025-05-01,Daily sales deposit,Revenue,revenue,4719.92,1310890481380148,
1071,2025-05-05,Northwind Wholesale Supply - COGS,COGS,expense,17935.69,6416484054459667,88-1234567
1072,2025-05-05,Aperture Payroll Processing - Payroll,Payroll,expense,11500,5155074104460949,88-2345678
1073,2025-05-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1074,2025-05-05,BrightPath Media Co - Marketing,Marketing,expense,2000.0,7603334216848202,88-4567890
1075,2025-05-05,Metro Power & Water - Utilities,Utilities,expense,1050.0,0264884572147823,88-5678901
1076,2025-06-01,Daily sales deposit,Revenue,revenue,4776.56,1310890481380148,
1077,2025-06-04,Daily sales deposit,Revenue,revenue,4776.56,1310890481380148,
1078,2025-06-07,Daily sales deposit,Revenue,revenue,4776.56,1310890481380148,
1079,2025-06-10,Daily sales deposit,Revenue,revenue,4776.56,1310890481380148,
1080,2025-06-13,Daily sales deposit,Revenue,revenue,4776.56,1310890481380148,
1081,2025-06-16,Daily sales deposit,Revenue,revenue,4776.56,1310890481380148,
1082,2025-06-19,Daily sales deposit,Revenue,revenue,4776.56,1310890481380148,
1083,2025-06-22,Daily sales deposit,Revenue,revenue,4776.56,1310890481380148,
1084,2025-06-25,Daily sales deposit,Revenue,revenue,4776.56,1310890481380148,
1085,2025-06-01,Daily sales deposit,Revenue,revenue,4776.56,1310890481380148,
1086,2025-06-05,Northwind Wholesale Supply - COGS,COGS,expense,18150.92,6416484054459667,88-1234567
1087,2025-06-05,Aperture Payroll Processing - Payroll,Payroll,expense,11500,5155074104460949,88-2345678
1088,2025-06-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1089,2025-06-05,BrightPath Media Co - Marketing,Marketing,expense,2000.0,7603334216848202,88-4567890
1090,2025-06-05,Metro Power & Water - Utilities,Utilities,expense,1000.0,0264884572147823,88-5678901
1091,2025-07-01,Daily sales deposit,Revenue,revenue,4833.88,1310890481380148,
1092,2025-07-04,Daily sales deposit,Revenue,revenue,4833.88,1310890481380148,
1093,2025-07-07,Daily sales deposit,Revenue,revenue,4833.88,1310890481380148,
1094,2025-07-10,Daily sales deposit,Revenue,revenue,4833.88,1310890481380148,
1095,2025-07-13,Daily sales deposit,Revenue,revenue,4833.88,1310890481380148,
1096,2025-07-16,Daily sales deposit,Revenue,revenue,4833.88,1310890481380148,
1097,2025-07-19,Daily sales deposit,Revenue,revenue,4833.88,1310890481380148,
1098,2025-07-22,Daily sales deposit,Revenue,revenue,4833.88,1310890481380148,
1099,2025-07-25,Daily sales deposit,Revenue,revenue,4833.88,1310890481380148,
1100,2025-07-01,Daily sales deposit,Revenue,revenue,4833.88,1310890481380148,
1101,2025-07-05,Northwind Wholesale Supply - COGS,COGS,expense,18368.73,6416484054459667,88-1234567
1102,2025-07-05,Aperture Payroll Processing - Payroll,Payroll,expense,12000,5155074104460949,88-2345678
1103,2025-07-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1104,2025-07-05,BrightPath Media Co - Marketing,Marketing,expense,2000.0,7603334216848202,88-4567890
1105,2025-07-05,Metro Power & Water - Utilities,Utilities,expense,1050.0,0264884572147823,88-5678901
1106,2025-08-01,Daily sales deposit,Revenue,revenue,4891.88,1310890481380148,
1107,2025-08-04,Daily sales deposit,Revenue,revenue,4891.88,1310890481380148,
1108,2025-08-07,Daily sales deposit,Revenue,revenue,4891.88,1310890481380148,
1109,2025-08-10,Daily sales deposit,Revenue,revenue,4891.88,1310890481380148,
1110,2025-08-13,Daily sales deposit,Revenue,revenue,4891.88,1310890481380148,
1111,2025-08-16,Daily sales deposit,Revenue,revenue,4891.88,1310890481380148,
1112,2025-08-19,Daily sales deposit,Revenue,revenue,4891.88,1310890481380148,
1113,2025-08-22,Daily sales deposit,Revenue,revenue,4891.88,1310890481380148,
1114,2025-08-25,Daily sales deposit,Revenue,revenue,4891.88,1310890481380148,
1115,2025-08-01,Daily sales deposit,Revenue,revenue,4891.88,1310890481380148,
1116,2025-08-05,Northwind Wholesale Supply - COGS,COGS,expense,18589.16,6416484054459667,88-1234567
1117,2025-08-05,Aperture Payroll Processing - Payroll,Payroll,expense,12000,5155074104460949,88-2345678
1118,2025-08-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1119,2025-08-05,BrightPath Media Co - Marketing,Marketing,expense,2000.0,7603334216848202,88-4567890
1120,2025-08-05,Metro Power & Water - Utilities,Utilities,expense,1100.0,0264884572147823,88-5678901
1121,2025-08-19,EMERGENCY: Freezer unit compressor replacement,Repairs,expense,9800.0,7448752446962453,88-9999999
1122,2025-09-01,Daily sales deposit,Revenue,revenue,4950.59,1310890481380148,
1123,2025-09-04,Daily sales deposit,Revenue,revenue,4950.59,1310890481380148,
1124,2025-09-07,Daily sales deposit,Revenue,revenue,4950.59,1310890481380148,
1125,2025-09-10,Daily sales deposit,Revenue,revenue,4950.59,1310890481380148,
1126,2025-09-13,Daily sales deposit,Revenue,revenue,4950.59,1310890481380148,
1127,2025-09-16,Daily sales deposit,Revenue,revenue,4950.59,1310890481380148,
1128,2025-09-19,Daily sales deposit,Revenue,revenue,4950.59,1310890481380148,
1129,2025-09-22,Daily sales deposit,Revenue,revenue,4950.59,1310890481380148,
1130,2025-09-25,Daily sales deposit,Revenue,revenue,4950.59,1310890481380148,
1131,2025-09-01,Daily sales deposit,Revenue,revenue,4950.59,1310890481380148,
1132,2025-09-05,Northwind Wholesale Supply - COGS,COGS,expense,18812.23,6416484054459667,88-1234567
1133,2025-09-05,Aperture Payroll Processing - Payroll,Payroll,expense,12000,5155074104460949,88-2345678
1134,2025-09-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1135,2025-09-05,BrightPath Media Co - Marketing,Marketing,expense,2000.0,7603334216848202,88-4567890
1136,2025-09-05,Metro Power & Water - Utilities,Utilities,expense,1150.0,0264884572147823,88-5678901
1137,2025-10-01,Daily sales deposit,Revenue,revenue,5009.99,1310890481380148,
1138,2025-10-04,Daily sales deposit,Revenue,revenue,5009.99,1310890481380148,
1139,2025-10-07,Daily sales deposit,Revenue,revenue,5009.99,1310890481380148,
1140,2025-10-10,Daily sales deposit,Revenue,revenue,5009.99,1310890481380148,
1141,2025-10-13,Daily sales deposit,Revenue,revenue,5009.99,1310890481380148,
1142,2025-10-16,Daily sales deposit,Revenue,revenue,5009.99,1310890481380148,
1143,2025-10-19,Daily sales deposit,Revenue,revenue,5009.99,1310890481380148,
1144,2025-10-22,Daily sales deposit,Revenue,revenue,5009.99,1310890481380148,
1145,2025-10-25,Daily sales deposit,Revenue,revenue,5009.99,1310890481380148,
1146,2025-10-01,Daily sales deposit,Revenue,revenue,5009.99,1310890481380148,
1147,2025-10-05,Northwind Wholesale Supply - COGS,COGS,expense,19037.97,6416484054459667,88-1234567
1148,2025-10-05,Aperture Payroll Processing - Payroll,Payroll,expense,12000,5155074104460949,88-2345678
1149,2025-10-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1150,2025-10-05,BrightPath Media Co - Marketing,Marketing,expense,2000.0,7603334216848202,88-4567890
1151,2025-10-05,Metro Power & Water - Utilities,Utilities,expense,1200.0,0264884572147823,88-5678901
1152,2025-11-01,Daily sales deposit,Revenue,revenue,6844.65,1310890481380148,
1153,2025-11-04,Daily sales deposit,Revenue,revenue,6844.65,1310890481380148,
1154,2025-11-07,Daily sales deposit,Revenue,revenue,6844.65,1310890481380148,
1155,2025-11-10,Daily sales deposit,Revenue,revenue,6844.65,1310890481380148,
1156,2025-11-13,Daily sales deposit,Revenue,revenue,6844.65,1310890481380148,
1157,2025-11-16,Daily sales deposit,Revenue,revenue,6844.65,1310890481380148,
1158,2025-11-19,Daily sales deposit,Revenue,revenue,6844.65,1310890481380148,
1159,2025-11-22,Daily sales deposit,Revenue,revenue,6844.65,1310890481380148,
1160,2025-11-25,Daily sales deposit,Revenue,revenue,6844.65,1310890481380148,
1161,2025-11-01,Daily sales deposit,Revenue,revenue,6844.65,1310890481380148,
1162,2025-11-05,Northwind Wholesale Supply - COGS,COGS,expense,26009.68,6416484054459667,88-1234567
1163,2025-11-05,Aperture Payroll Processing - Payroll,Payroll,expense,12000,5155074104460949,88-2345678
1164,2025-11-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1165,2025-11-05,BrightPath Media Co - Marketing,Marketing,expense,4500.0,7603334216848202,88-4567890
1166,2025-11-05,Metro Power & Water - Utilities,Utilities,expense,1250.0,0264884572147823,88-5678901
1167,2025-12-01,Daily sales deposit,Revenue,revenue,6926.79,1310890481380148,
1168,2025-12-04,Daily sales deposit,Revenue,revenue,6926.79,1310890481380148,
1169,2025-12-07,Daily sales deposit,Revenue,revenue,6926.79,1310890481380148,
1170,2025-12-10,Daily sales deposit,Revenue,revenue,6926.79,1310890481380148,
1171,2025-12-13,Daily sales deposit,Revenue,revenue,6926.79,1310890481380148,
1172,2025-12-16,Daily sales deposit,Revenue,revenue,6926.79,1310890481380148,
1173,2025-12-19,Daily sales deposit,Revenue,revenue,6926.79,1310890481380148,
1174,2025-12-22,Daily sales deposit,Revenue,revenue,6926.79,1310890481380148,
1175,2025-12-25,Daily sales deposit,Revenue,revenue,6926.79,1310890481380148,
1176,2025-12-01,Daily sales deposit,Revenue,revenue,6926.79,1310890481380148,
1177,2025-12-05,Northwind Wholesale Supply - COGS,COGS,expense,26321.8,6416484054459667,88-1234567
1178,2025-12-05,Aperture Payroll Processing - Payroll,Payroll,expense,12000,5155074104460949,88-2345678
1179,2025-12-05,Riverbend Properties LLC - Rent,Rent,expense,4200.0,9234670341961681,88-3456789
1180,2025-12-05,BrightPath Media Co - Marketing,Marketing,expense,4500.0,7603334216848202,88-4567890
1181,2025-12-05,Metro Power & Water - Utilities,Utilities,expense,1300.0,0264884572147823,88-5678901
